n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
10430,0.4,validation,2,0.8697453206505062,0.9199611147116008,0.8250508573089218,0.8699249272253715,0.9403157757440836,OULAD (full-module features),Random forest
15645,0.6,train,2,0.9140300415468201,0.959224332580688,0.8743341404358353,0.9148141110899993,0.979821139637476,OULAD (full-module features),Random forest
15645,0.6,validation,2,0.8731205891377724,0.9257328990228013,0.8259226968904388,0.8729841806174167,0.9418269265732757,OULAD (full-module features),Random forest
20860,0.8,train,2,0.914333652924257,0.9592832254853161,0.8748865080806246,0.9151431691913197,0.9803376621359899,OULAD (full-module features),Random forest
20860,0.8,validation,2,0.8751150659711568,0.9296696107294733,0.8259226968904388,0.8747306863650354,0.9426533371829902,OULAD (full-module features),Random forest
26075,1.0,train,2,0.9131351869606903,0.9602272727272727,0.8715769593956563,0.9137569965350493,0.9800158649244346,OULAD (full-module features),Random forest
26075,1.0,validation,2,0.8718932187787665,0.9255388634879164,0.8235977913397268,0.8715977241273258,0.9430605923314573,OULAD (full-module features),Random forest
1303,0.05,train,3,0.9017651573292402,0.9416403785488959,0.8677325581395349,0.903177004538578,0.9762738702968424,OULAD (full-module features),Random forest
1303,0.05,validation,3,0.8547546012269939,0.902321083172147,0.8129538193435957,0.8553093964858671,0.9278314622151874,OULAD (full-module features),Random forest
2607,0.1,train,3,0.904487917146145,0.9518845228548516,0.8626453488372093,0.9050705299275639,0.977653354240266,OULAD (full-module features),Random forest
2607,0.1,validation,3,0.8576687116564418,0.9129720853858785,0.807435376125472,0.8569667077681874,0.9327941249624437,OULAD (full-module features),Random forest
