n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
5215,0.2,train,4,0.813614573346117,0.8651086510865109,0.7664366146022521,0.812788906009245,0.9098331692211996,OULAD (week-4 features),Random forest
5215,0.2,validation,4,0.7127953359926358,0.7579743505425847,0.6698634117988956,0.7112002468373959,0.789852093279185,OULAD (week-4 features),Random forest
10430,0.4,train,4,0.8151486097794822,0.8682856554846676,0.7661158525512983,0.8140073316612001,0.9089317416671433,OULAD (week-4 features),Random forest
10430,0.4,validation,4,0.7141761276465174,0.7649429147078576,0.6620168555652427,0.7097678766162954,0.7908213076422581,OULAD (week-4 features),Random forest
15645,0.6,train,4,0.8114413550655162,0.8657024793388429,0.7608958837772397,0.8099226804123711,0.9085459859901868,OULAD (week-4 features),Random forest
15645,0.6,validation,4,0.7187787664927892,0.7719891745602165,0.6631793083405987,0.7134594341097389,0.7941112718912628,OULAD (week-4 features),Random forest
20860,0.8,train,4,0.8106423777564717,0.8679933319441551,0.7564009442527692,0.8083640597710072,0.9072761244059184,OULAD (week-4 features),Random forest
20860,0.8,validation,4,0.713255599877263,0.769732326698696,0.6518453937808777,0.7059008654602675,0.7928925287475195,OULAD (week-4 features),Random forest
26075,1.0,train,4,0.8091658676893576,0.8655301455301455,0.756010750345028,0.8070719602977667,0.9058103516722752,OULAD (week-4 features),Random forest
26075,1.0,validation,4,0.7170911322491562,0.7713217804960925,0.6596919500145306,0.7111528822055138,0.79355309055373,OULAD (week-4 features),Random forest
1303,0.05,train,0,0.7313891020721413,0.7608024691358025,0.7165697674418605,0.7380239520958084,0.8008319152958973,OULAD (week-4 features),Neural network (MLP)
1303,0.05,validation,0,0.7188219052001841,0.7390787518573552,0.7225450319581639,0.7307183781401498,0.7901545307096549,OULAD (week-4 features),Neural network (MLP)
2607,0.1,train,0,0.775987725354814,0.7869565217391304,0.7892441860465116,0.7880986937590712,0.8570088012204107,OULAD (week-4 features),Neural network (MLP)
2607,0.1,validation,0,0.7172879275962571,0.7288863441168051,0.7396862289366647,0.7342465753424657,0.7962873596666766,OULAD (week-4 features),Neural network (MLP)
5214,0.2,train,0,0.738204833141542,0.7839607201309329,0.6959680348710497,0.7373484702713103,0.8181009140337172,OULAD (week-4 features),Neural network (MLP)
5214,0.2,validation,0,0.7235772357723578,0.7631578947368421,0.6908773968622893,0.7252211039951204,0.8029051271103463,OULAD (week-4 features),Neural network (MLP)
10429,0.4,train,0,0.7396682328123502,0.7962216090002122,0.681256810751907,0.7342664187139082,0.8224333633709213,OULAD (week-4 features),Neural network (MLP)
10429,0.4,validation,0,0.7226568492100015,0.7765741367637102,0.6664729808251016,0.7173233270794246,0.8063958155549307,OULAD (week-4 features),Neural network (MLP)
15644,0.6,train,0,0.743416006136538,0.7793865999736738,0.7169148807361666,0.7468466195761857,0.8255813993523653,OULAD (week-4 features),Neural network (MLP)
15644,0.6,validation,0,0.7225034514496088,0.7574897508672344,0.6978500871586287,0.7264479056404053,0.8030943437628469,OULAD (week-4 features),Neural network (MLP)
20859,0.8,train,0,0.7310513447432763,0.7604357466499566,0.7162444383909925,0.7376788553259142,0.8093983217330047,OULAD (week-4 features),Neural network (MLP)
20859,0.8,validation,0,0.7238840312931432,0.751840490797546,0.7120859965136549,0.7314234556848702,0.8063368033753834,OULAD (week-4 features),Neural network (MLP)
26074,1.0,train,0,0.7299992329523664,0.7762444553967471,0.6864739212552666,0.7286044718581342,0.8092353290107164,OULAD (week-4 features),Neural network (MLP)
26074,1.0,validation,0,0.7244976223347139,0.768603133159269,0.6841952353282975,0.7239471257300953,0.806426029790859,OULAD (week-4 features),Neural network (MLP)
1303,0.05,train,1,0.7398311588641596,0.7540029112081513,0.752906976744186,0.7534545454545455,0.8133295519001702,OULAD (week-4 features),Neural network (MLP)
1303,0.05,validation,1,0.7045105860693465,0.7172354459420706,0.7268235977913398,0.7219976905311778,0.783137530686987,OULAD (week-4 features),Neural network (MLP)
2607,0.1,train,1,0.7414652857690832,0.7704160246533128,0.7267441860465116,0.7479431563201197,0.8191363374454499,OULAD (week-4 features),Neural network (MLP)
2607,0.1,validation,1,0.7135624424670144,0.7424522489217499,0.7003777971519907,0.7208015552564677,0.7906541838052421,OULAD (week-4 features),Neural network (MLP)
5215,0.2,train,1,0.7204218600191754,0.7546205269366889,0.6970577551761714,0.7246978851963746,0.8002930412225877,OULAD (week-4 features),Neural network (MLP)
5215,0.2,validation,1,0.7198527155569193,0.752107399313144,0.7000871839581517,0.7251655629139073,0.7961466503877943,OULAD (week-4 features),Neural network (MLP)
10430,0.4,train,1,0.7430488974113135,0.7901868199548348,0.6989286362810968,0.7417614183850453,0.8238256659363716,OULAD (week-4 features),Neural network (MLP)
10430,0.4,validation,1,0.7267566738263271,0.7680878552971576,0.6910781749491427,0.7275508643108459,0.8037450000977525,OULAD (week-4 features),Neural network (MLP)
15645,0.6,train,1,0.7433045701502078,0.7677264698460762,0.736682808716707,0.7518843444952428,0.8224653320240458,OULAD (week-4 features),Neural network (MLP)
15645,0.6,validation,1,0.7241485118134398,0.7469191463781184,0.7221737866899157,0.734338061465721,0.8024450325969401,OULAD (week-4 features),Neural network (MLP)
20860,0.8,train,1,0.7573825503355704,0.803817495151577,0.714999092064645,0.756811301715439,0.8388461497178208,OULAD (week-4 features),Neural network (MLP)
20860,0.8,validation,1,0.7117213869285057,0.7540663630448926,0.6736413833188026,0.7115886415963162,0.792069659897561,OULAD (week-4 features),Neural network (MLP)
26075,1.0,train,1,0.7320038350910835,0.7745201263464809,0.6946320912326578,0.7324040744428276,0.8144045484084805,OULAD (week-4 features),Neural network (MLP)
